amazon_order_id,purchase_date,order_total,add_city,Abbrev,add_postal,add_country,number_items,total_item_quantity,Product,repeat_buyer,Month
112-9520688-0214660,2020-12-13 04:04 PM PST,32.61,BUFFALO,NY,14221-5812,US,1,1,Rainforest,0.0,12
111-9763412-1465054,2020-12-13 07:50 PM PST,32.66,WALLA WALLA,WA,99362-4556,US,1,1,Rainforest,1.0,12
111-0582021-8828235,2020-12-13 08:42 PM PST,31.79,WEST CHESTER,PA,19380-4033,US,1,1,Rainforest,0.0,12
114-5298494-2101848,2020-12-13 09:08 PM PST,29.99,PANAMA CITY,FL,32404-6031,US,1,1,Rainforest,0.0,12
114-7045356-6018634,2020-12-13 10:34 PM PST,33.06,PASADENA,CA,91105-1316,US,1,1,Rainforest,0.0,12
113-6338118-2538635,2020-12-14 05:21 AM PST,32.09,BROWNSBURG,IN,46112-9234,US,1,1,Rainforest,0.0,12
114-0981175-7351430,2020-12-14 05:45 AM PST,29.99,KANSAS CITY,MO,64110-1628,US,1,1,Rainforest,0.0,12
112-8562237-5146647,2020-12-14 06:01 AM PST,31.98,MAHWAH,NJ,07430-2567,US,1,1,Rainforest,0.0,12
112-1988159-4756231,2020-12-14 06:30 AM PST,31.79,TAYLOR,MI,48180-2054,US,1,1,Rainforest,0.0,12
111-9367418-0112249,2020-12-14 06:54 AM PST,32.65,BROOKLYN,NY,11209-4909,US,1,1,Rainforest,0.0,12
112-2596731-9364200,2020-12-14 08:30 AM PST,32.46,HASLET,TX,76052-4892,US,1,1,Rainforest,0.0,12
111-7721673-0274613,2020-12-14 08:56 AM PST,31.79,ARLINGTON,VA,22209-1127,US,1,1,Rainforest,,12
111-2942922-3350650,2020-12-14 09:55 AM PST,32.76,Chattanooga,TN,37412,US,1,1,Rainforest,0.0,12
111-2879347-4500257,2020-12-14 11:36 AM PST,32.6,TUCSON,AZ,85719-5109,US,1,1,Rainforest,0.0,12
112-5244593-7641823,2020-12-14 02:53 PM PST,32.69,POULSBO,WA,98370-6565,US,1,1,Rainforest,0.0,12
112-7671164-1161025,2020-12-14 04:18 PM PST,31.49,Dousman,WI,53118,US,1,1,Rainforest,0.0,12
114-9778111-7625051,2020-12-14 04:33 PM PST,32.46,AUSTIN,TX,78723-5390,US,1,1,Rainforest,,12
112-1235840-1754610,2020-12-14 05:50 PM PST,32.5,BRIARCLIFF MANOR,NY,10510-1027,US,1,1,Rainforest,1.0,12
113-6338508-3681812,2020-12-14 06:17 PM PST,29.99,ATLANTIC BEACH,FL,32233-6960,US,1,1,Rainforest,0.0,12
114-4458180-6141040,2020-12-14 11:32 PM PST,31.79,MARIETTA,GA,30066,US,1,1,Rainforest,0.0,12
114-5232999-3116263,2020-12-15 04:54 AM PST,34.33,FORT HUACHUCA,AZ,85613-1421,US,1,1,Rainforest,0.0,12
111-1060530-7456226,2020-12-15 06:20 AM PST,31.86,PLAINFIELD,IL,60586-8637,US,1,1,Rainforest,0.0,12
113-8155155-7993035,2020-12-15 06:21 AM PST,32.16,FUQUAY VARINA,NC,27526-2421,US,1,1,Rainforest,0.0,12
114-1484300-8721032,2020-12-15 07:12 AM PST,29.99,TAMPA,FL,33606-2471,US,1,1,Rainforest,,12
113-8445378-8589031,2020-12-15 10:46 AM PST,31.86,WEST ROXBURY,MA,02132-2439,US,1,1,Rainforest,0.0,12
112-2274841-3145863,2020-12-15 11:30 AM PST,33.14,LONOKE,AR,72086-3622,US,1,1,Rainforest,0.0,12
111-6331056-7902669,2020-12-15 12:02 PM PST,32.09,GREENSBORO,GA,30642-3911,US,1,1,Rainforest,,12
113-2222798-8942609,2020-12-15 12:43 PM PST,31.79,DULUTH,GA,30097-5035,US,1,1,Rainforest,0.0,12
111-9802738-5384267,2020-12-15 01:59 PM PST,29.99,NORTH POLE,AK,99705-5373,US,1,1,Rainforest,0.0,12
114-2980695-9285827,2020-12-15 03:42 PM PST,32.65,BROOKLYN,NY,11204-5302,US,1,1,Rainforest,,12
112-1574791-0355465,2020-12-15 05:19 PM PST,32.43,RHINEBECK,NY,12572-2163,US,1,1,Rainforest,0.0,12
114-5231919-4406648,2020-12-15 06:06 PM PST,29.99,WELLINGTON,FL,33414-8674,US,1,1,Rainforest,0.0,12
114-1157807-2505844,2020-12-15 07:35 PM PST,32.66,SPOKANE,WA,99223-1544,US,1,1,Rainforest,0.0,12
114-2262918-4781012,2020-12-15 07:48 PM PST,32.38,Caruthers,CA,93609,US,1,1,Rainforest,0.0,12
113-1179689-6449026,2020-12-15 11:10 PM PST,32.76,OAKLAND,CA,94605-1123,US,1,1,Rainforest,,12
113-8518211-5389837,2020-12-16 05:36 AM PST,32.61,clarence center,new york,14032,US,1,1,Rainforest,0.0,12
113-2088026-5539446,2020-12-16 07:02 AM PST,32.01,BRISTOLVILLE,OH,44402-9718,US,1,1,Rainforest,0.0,12
112-5654946-6761040,2020-12-16 07:10 AM PST,31.79,PLEASANT GAP,PA,16823-7417,US,1,1,Rainforest,0.0,12
112-4327268-1121862,2020-12-16 07:13 AM PST,32.43,NEW WINDSOR,NY,12553-6843,US,1,1,Rainforest,0.0,12
114-6909399-2548245,2020-12-16 07:36 AM PST,31.79,Byron Center,MI,49315-8835,US,1,1,Rainforest,,12
112-6352294-8384227,2020-12-16 09:33 AM PST,32.01,RICHFIELD,OH,44286-9734,US,1,1,Rainforest,0.0,12
114-0776169-8514627,2020-12-16 11:36 AM PST,32.31,OCEANSIDE,CA,92058-6626,US,1,1,Rainforest,0.0,12
111-2389245-7851443,2020-12-16 12:01 PM PST,32.3,WASHOUGAL,WA,98671-9582,US,1,1,Rainforest,0.0,12
112-0682410-2143417,2020-12-16 07:13 PM PST,32.24,DURHAM,NC,27707-5418,US,1,1,Rainforest,0.0,12
114-0851129-7212232,2020-12-17 05:05 AM PST,31.89,FAIRFIELD,CT,06824-4547,US,1,1,Rainforest,0.0,12
114-3972674-4044228,2020-12-17 09:27 AM PST,31.89,Milford,CT,6460,US,1,1,Rainforest,0.0,12
113-1231341-1197830,2020-12-17 10:43 AM PST,32.76,San Jose,CA,95111,US,1,1,Rainforest,0.0,12
114-9566257-4512234,2020-12-17 11:37 AM PST,33.11,EVERETT,WA,98208-7116,US,1,1,Rainforest,0.0,12
113-5577499-9405069,2020-12-17 08:08 PM PST,31.89,WOODBRIDGE,CT,06525-1134,US,1,1,Rainforest,0.0,12
114-5057005-3701031,2020-12-17 08:10 PM PST,31.86,GERMANTOWN HILLS,IL,61548-9440,US,1,1,Rainforest,1.0,12
112-1474500-4317059,2020-12-17 08:22 PM PST,31.79,MCLEAN,VA,22102-3424,US,1,1,Rainforest,0.0,12
111-2601689-4911461,2020-12-17 08:47 PM PST,31.79,RESTON,VA,20194-2000,US,1,1,Rainforest,0.0,12
114-1981733-6489060,2020-12-17 09:04 PM PST,33.06,ARCADIA,CA,91007-7118,US,1,1,Rainforest,0.0,12
114-7899449-2921826,2020-12-17 09:57 PM PST,32.46,Cedar Park,TX,78613,US,1,1,Rainforest,0.0,12
114-3948442-8321808,2020-12-18 05:50 AM PST,31.86,MISSOURI CITY,TX,77459-7271,US,1,1,Rainforest,0.0,12
114-5832017-8645825,2020-12-18 06:17 AM PST,31.86,WAREHAM,MA,02571-1457,US,1,1,Rainforest,0.0,12
113-1898748-2151420,2020-12-18 08:14 AM PST,31.86,LIBERTYVILLE,IL,60048-1950,US,1,1,Rainforest,0.0,12
114-0452611-8498644,2020-12-18 01:48 PM PST,32.46,BRENTWOOD,CA,94513-2325,US,1,1,Rainforest,0.0,12
113-7192414-0482630,2020-12-18 01:55 PM PST,32.76,Oakland,CA,94605,US,1,1,Rainforest,0.0,12
112-7377565-7565861,2020-12-18 06:25 PM PST,29.99,KEY BISCAYNE,FL,33149-1729,US,1,1,Rainforest,0.0,12
111-0082524-9355431,2020-12-18 07:49 PM PST,32.76,SANTA CRUZ,CA,95065-1322,US,1,1,Rainforest,0.0,12
111-6229555-6998669,2020-12-19 07:32 AM PST,32.09,BLOOMINGTON,IN,47403-2069,US,1,1,Rainforest,0.0,12
112-8890255-0652245,2020-12-19 09:34 AM PST,32.13,hastings,MN,55033,US,1,1,Rainforest,0.0,12
114-2861113-9441853,2020-12-19 11:20 AM PST,31.86,CHESTNUT HILL,MA,02467-2721,US,1,1,Rainforest,0.0,12
112-3056007-0090655,2020-12-19 11:36 AM PST,31.86,SOMERVILLE,MA,02144-2405,US,1,1,Rainforest,0.0,12
113-6170510-7569063,2020-12-19 12:21 PM PST,32.65,NEW YORK,NY,10025-4295,US,1,1,Rainforest,0.0,12
111-5780016-2648242,2020-12-19 02:00 PM PST,32.38,FRESNO,CA,93720-1279,US,1,1,Rainforest,0.0,12
112-4754828-5771408,2020-12-19 02:02 PM PST,32.16,HOLLY SPRINGS,NC,27540-5435,US,1,1,Rainforest,0.0,12
112-0444645-0693869,2020-12-19 02:10 PM PST,31.79,ROCKVILLE,MD,20852-5636,US,1,1,Rainforest,0.0,12
114-6155332-2973034,2020-12-19 03:05 PM PST,32.31,IRVINE,CA,92602-0844,US,1,1,Rainforest,0.0,12
112-8643154-5134618,2020-12-19 04:29 PM PST,32.84,LOS ANGELES,CA,90066-4226,US,1,1,Rainforest,0.0,12
114-9063892-9657014,2020-12-19 08:29 PM PST,31.58,FREDERICKSBURG,VA,22406,US,1,1,Rainforest,0.0,12
113-9955851-9830655,2020-12-19 09:46 PM PST,32.16,WASHINGTON COURT HOUSE,OH,43160-1782,US,1,1,Rainforest,0.0,12
111-1321179-3689830,2020-12-20 05:06 AM PST,32.09,Ellijay,GA,30540,US,1,1,Rainforest,0.0,12
111-1171139-8933058,2020-12-20 06:58 AM PST,32.31,VISTA,CA,92084-1918,US,1,1,Rainforest,0.0,12
112-2708042-4354617,2020-12-20 07:02 AM PST,29.99,LIGHTHOUSE POINT,FL,33064-7339,US,1,1,Rainforest,0.0,12
112-6249588-3859459,2020-12-20 08:02 AM PST,31.89,GUILFORD,CT,06437-2218,US,1,1,Rainforest,1.0,12
112-9260075-5013059,2020-12-20 10:05 AM PST,31.19,DENVER,CO,80210-4809,US,1,1,Rainforest,1.0,12
112-4633569-5890600,2020-12-20 11:23 AM PST,32.61,ROME,NY,13440-2824,US,1,1,Rainforest,0.0,12
111-3222113-8132211,2020-12-20 01:32 PM PST,32.16,SANDY,UT,84092-5674,US,1,1,Rainforest,0.0,12
111-9596964-4540238,2020-12-20 02:50 PM PST,32.24,WESTERVILLE,OH,43081-4543,US,1,1,Rainforest,0.0,12
113-1249098-4616250,2020-12-20 05:22 PM PST,29.99,Fort Lauderdale,FL,33312,US,1,1,Rainforest,0.0,12
112-6545245-6241045,2020-12-20 06:15 PM PST,32.76,NASHVILLE,TN,37211-2938,US,1,1,Rainforest,0.0,12
113-5699247-2182632,2020-12-21 01:28 AM PST,32.31,HELENDALE,CA,92342-7624,US,1,1,Rainforest,0.0,12
112-6986605-9493041,2020-12-21 04:21 AM PST,31.79,ASHBURN,VA,20148-6945,US,1,1,Rainforest,0.0,12
112-5373282-4495436,2020-12-21 05:21 AM PST,29.99,WINTER GARDEN,FL,34787-1430,US,1,1,Rainforest,0.0,12
112-8896064-0413803,2020-12-21 11:09 AM PST,31.79,BOWIE,MD,20715-2702,US,1,1,Rainforest,,12
113-9311525-9711415,2020-12-21 06:34 PM PST,32.66,ATLANTA,GA,30317,US,1,1,Rainforest,0.0,12
111-9460279-8144246,2020-12-21 07:32 PM PST,31.79,EDGEWATER,MD,21037-4846,US,1,1,Rainforest,0.0,12
113-0080236-2630617,2020-12-22 05:49 AM PST,32.25,Edina,MN,55436-2720,US,1,1,Rainforest,0.0,12
111-9922012-4677039,2020-12-22 07:21 AM PST,32.46,SACHSE,TX,75048-4309,US,1,1,Rainforest,0.0,12
112-5845334-4329069,2020-12-22 08:25 AM PST,31.79,BONNERS FERRY,ID,83805-5811,US,1,1,Rainforest,0.0,12
112-1660923-1579409,2020-12-22 09:47 AM PST,31.86,MAZON,IL,60444-6276,US,1,1,Rainforest,0.0,12
114-0044653-8170626,2020-12-22 12:11 PM PST,31.89,MIDDLETOWN,CT,06457-4137,US,1,1,Rainforest,0.0,12
111-7304876-0435437,2020-12-22 12:38 PM PST,31.19,DENVER,CO,80205-3960,US,1,1,Rainforest,1.0,12
112-6674148-1314666,2020-12-22 03:04 PM PST,32.99,SAMMAMISH,WA,98029-6326,US,1,1,Rainforest,0.0,12
111-7699511-6525831,2020-12-22 05:51 PM PST,32.16,EDWARDS,CA,93523-2422,US,1,1,Rainforest,0.0,12
112-6363300-6496227,2020-12-22 06:06 PM PST,29.99,MELBOURNE,FL,32940-1315,US,1,1,Rainforest,0.0,12
114-1325986-4731434,2020-12-23 02:34 AM PST,32.91,SCOTTS VALLEY,CA,95066-4624,US,1,1,Rainforest,0.0,12
113-1875426-5774626,2020-12-23 04:36 AM PST,32.39,ATLANTA,GA,30306-2505,US,1,1,Rainforest,0.0,12
113-8981817-6612241,2020-12-23 08:16 AM PST,32.54,eureka,CA,95501,US,1,1,Rainforest,0.0,12
114-7449719-0370604,2020-12-23 09:28 AM PST,31.98,CLIFTON,NJ,07013-2541,US,1,1,Rainforest,0.0,12
111-4676477-5693040,2020-12-23 10:12 AM PST,29.99,BOCA RATON,FL,33496-2902,US,1,1,Rainforest,0.0,12
112-2574005-7221062,2020-12-23 03:44 PM PST,33.02,SEATTLE,WA,98115-7820,US,1,1,Rainforest,0.0,12
114-4799440-3802600,2020-12-23 06:07 PM PST,29.99,KEY BISCAYNE,FL,33149-1852,US,1,1,Rainforest,0.0,12
111-6484876-7641024,2020-12-23 09:05 PM PST,64.62,MCKINLEYVILLE,CA,95519-5806,US,1,2,Rainforest,0.0,12
114-0993243-2729049,2020-12-23 09:25 PM PST,32.61,CATHEDRAL CITY,CA,92234-4927,US,1,1,Rainforest,0.0,12
112-8835380-2274604,2020-12-24 11:03 AM PST,29.99,MIAMI,FL,33173-3955,US,1,1,Rainforest,,12
111-1206172-4573800,2020-12-24 12:14 PM PST,32.79,BROKEN ARROW,OK,74014-3052,US,1,1,Rainforest,0.0,12
111-3709431-5492239,2020-12-24 04:14 PM PST,32.58,LAWRENCE,NY,11559-1580,US,1,1,Rainforest,0.0,12
114-1748309-7173051,2020-12-25 03:17 AM PST,31.79,OAKMONT,PA,15139-1022,US,1,1,Rainforest,0.0,12
114-1660579-6037820,2020-12-25 08:53 AM PST,31.98,POINT PLEASANT BORO,NJ,08742-4249,US,1,1,Rainforest,0.0,12
114-6078949-3750604,2020-12-25 01:57 PM PST,32.31,CALIMESA,CA,92320-1091,US,1,1,Rainforest,0.0,12
112-2156575-4302605,2020-12-26 07:15 AM PST,31.79,VIRGINIA BEACH,VA,23456-1278,US,1,1,Rainforest,0.0,12
113-4570411-8947406,2020-12-26 07:17 AM PST,31.79,MEDIA,PA,19063-2559,US,1,1,Rainforest,0.0,12
113-9675578-8050601,2020-12-26 08:17 AM PST,32.82,New Orleans,La,70124,US,1,1,Rainforest,0.0,12
113-8847027-2673840,2020-12-26 11:35 AM PST,29.99,Bear,Delaware,19701,US,1,1,Rainforest,0.0,12
112-1370999-7461067,2020-12-26 01:03 PM PST,32.39,HELOTES,TX,78023-4137,US,1,1,Rainforest,0.0,12
113-1322391-7039408,2020-12-26 01:25 PM PST,31.79,MERIDIAN,ID,83646-6377,US,1,1,Rainforest,0.0,12
112-8067072-7726614,2020-12-26 02:46 PM PST,31.79,LUTHERVILLE TIMONIUM,MD,21093-3609,US,1,1,Rainforest,0.0,12
113-0011516-8897826,2020-12-26 02:46 PM PST,32.91,Dyersburg,TN,38024,US,1,1,Rainforest,0.0,12
113-9500739-8641009,2020-12-26 03:57 PM PST,32.31,GOLD RIVER,CA,95670-7513,US,1,1,Rainforest,0.0,12
112-2724207-6370668,2020-12-26 04:18 PM PST,32.65,YONKERS,NY,10704-2439,US,1,1,Rainforest,0.0,12
111-6393083-3119405,2020-12-26 05:25 PM PST,32.16,LAYTON,UT,84041-7740,US,1,1,Rainforest,0.0,12
113-5500900-8884251,2020-12-26 09:54 PM PST,31.86,SOUTH ORLEANS,MA,02662-6244,US,1,1,Rainforest,0.0,12
112-9482767-0908255,2020-12-27 03:22 AM PST,31.98,RUTHERFORD,NJ,07070-1144,US,1,1,Rainforest,1.0,12
111-1035366-0042606,2020-12-27 05:33 AM PST,31.79,JOPPA,MD,21085-2811,US,1,1,Rainforest,0.0,12
112-4506483-7299461,2020-12-27 07:00 AM PST,32.58,COMMACK,NY,11725-1359,US,1,1,Rainforest,0.0,12
113-6307933-7430648,2020-12-27 07:07 AM PST,32.54,LONGMONT,CO,80504-4656,US,1,1,Rainforest,0.0,12
111-6667511-9530661,2020-12-27 07:44 AM PST,32.4,SCOTTSDALE,AZ,85255-5253,US,1,1,Rainforest,0.0,12
112-2462426-6689020,2020-12-27 07:51 AM PST,31.86,LEOMINSTER,MA,01453-2936,US,1,1,Rainforest,0.0,12
112-0675102-5385067,2020-12-27 08:39 AM PST,31.86,ELMHURST,IL,60126-3650,US,1,1,Rainforest,0.0,12
113-7823310-4401844,2020-12-27 08:40 AM PST,31.89,FAIRFIELD,CT,06824-1720,US,1,1,Rainforest,0.0,12
113-0248610-5953008,2020-12-27 08:43 AM PST,32.46,Austin,TX,78748,US,1,1,Rainforest,0.0,12
114-2453674-5533829,2020-12-27 10:05 AM PST,32.46,SAN ANTONIO,TX,78228-1708,US,1,1,Rainforest,0.0,12
112-1220545-4895418,2020-12-27 11:41 AM PST,31.86,CHICAGO,IL,60631-2443,US,1,1,Rainforest,0.0,12
113-5666790-1489808,2020-12-27 12:38 PM PST,29.99,ROCHESTER,NH,03867-3560,US,1,1,Rainforest,0.0,12
114-8872896-5907459,2020-12-27 01:09 PM PST,31.86,MOMENCE,IL,60954-3394,US,1,1,Rainforest,0.0,12
111-4718495-3584266,2020-12-27 01:42 PM PST,31.79,PHILADELPHIA,PA,19134-4936,US,1,1,Rainforest,0.0,12
113-4568818-8057014,2020-12-27 01:59 PM PST,31.79,POST FALLS,ID,83854-6037,US,1,1,Rainforest,0.0,12
112-4924128-6382661,2020-12-27 02:05 PM PST,31.79,LAKE ORION,MI,48360-2422,US,1,1,Rainforest,1.0,12
114-8568377-4615457,2020-12-27 03:35 PM PST,31.34,LAKEWOOD,CO,80228-3643,US,1,1,Rainforest,0.0,12
111-0465400-9168226,2020-12-27 04:28 PM PST,31.86,HINSDALE,IL,60521-3015,US,1,1,Rainforest,0.0,12
114-7373641-6294652,2020-12-27 06:41 PM PST,32.61,NORCO,CA,92860-3935,US,1,1,Rainforest,0.0,12
113-9735669-5729022,2020-12-27 07:18 PM PST,32.72,PRESCOTT,AZ,86301-1263,US,1,1,Rainforest,0.0,12
114-8692083-0961828,2020-12-27 09:39 PM PST,31.86,CHESTNUT HILL,MA,02467-2935,US,1,1,Rainforest,0.0,12
111-4421474-9754623,2020-12-28 04:17 AM PST,32.46,Jonestown,TX,78645,US,1,1,Rainforest,0.0,12
113-5423077-3689848,2020-12-28 05:44 AM PST,32.01,CUYAHOGA FALLS,OH,44221-5004,US,1,1,Rainforest,0.0,12
114-7519531-0977819,2020-12-28 06:53 AM PST,31.79,GIBSONIA,PA,15044-7463,US,1,1,Rainforest,0.0,12
111-8692061-1561017,2020-12-28 07:09 AM PST,31.86,WAYLAND,MA,01778-3708,US,1,1,Rainforest,0.0,12
114-9368620-2291422,2020-12-28 08:22 AM PST,31.86,LA GRANGE PARK,IL,60526-1503,US,1,1,Rainforest,0.0,12
111-8921715-3458624,2020-12-28 08:27 AM PST,32.91,ALAMEDA,CA,94501-3605,US,1,1,Rainforest,0.0,12
112-1345351-6183420,2020-12-28 08:34 AM PST,32.16,PASO ROBLES,CA,93446-4539,US,1,1,Rainforest,0.0,12
114-5151273-9909863,2020-12-28 08:34 AM PST,32.46,TRUCKEE,CA,96161-2633,US,1,1,Rainforest,0.0,12
113-2273762-5288219,2020-12-28 09:11 AM PST,29.99,HIALEAH,FL,33010-2529,US,1,1,Rainforest,0.0,12
114-7371622-6494665,2020-12-28 09:29 AM PST,32.39,ROCKY RIVER,OH,44116-2723,US,1,1,Rainforest,1.0,12
113-4001898-0761043,2020-12-28 09:38 AM PST,65.0,LARCHMONT,NY,10538-1514,US,1,2,Rainforest,0.0,12
112-3004218-5021805,2020-12-28 10:22 AM PST,32.58,OAKDALE,NY,11769-2038,US,1,1,Rainforest,1.0,12
111-9345503-2144265,2020-12-28 10:37 AM PST,65.68,SILOAM SPRINGS,AR,72761-5087,US,1,2,Rainforest,0.0,12
112-6737681-0277061,2020-12-28 11:19 AM PST,31.86,WELLESLEY HILLS,MA,02481-7201,US,1,1,Rainforest,0.0,12
114-5200692-0269822,2020-12-28 01:47 PM PST,32.39,Birmingham,AL,35212,US,1,1,Rainforest,0.0,12
113-5362365-1745814,2020-12-28 02:40 PM PST,32.5,Cortlandt Manor,NY,10567,US,1,1,Rainforest,0.0,12
114-3120549-1813045,2020-12-28 03:33 PM PST,31.86,SUMMERFIELD,IL,62289-1040,US,1,1,Rainforest,0.0,12
112-4724209-4125052,2020-12-28 03:34 PM PST,32.01,SOUTHPORT,NC,28461-8070,US,1,1,Rainforest,0.0,12
113-1382755-4425803,2020-12-28 04:16 PM PST,32.09,PORTSMOUTH,RI,02871-3639,US,1,1,Rainforest,0.0,12
114-5131703-6917030,2020-12-28 05:28 PM PST,32.99,BELLEVUE,WA,98007-5233,US,1,1,Rainforest,0.0,12
113-8155218-7741841,2020-12-28 05:31 PM PST,32.16,PLEASANT GROVE,UT,84062-3165,US,1,1,Rainforest,0.0,12
113-7570844-6363418,2020-12-28 05:33 PM PST,32.57,PHOENIX,AZ,85018-1940,US,1,1,Rainforest,0.0,12
113-2766292-1678650,2020-12-28 05:42 PM PST,32.69,HANSVILLE,WA,98340-9705,US,1,1,Rainforest,0.0,12
114-9769551-6412238,2020-12-28 07:21 PM PST,31.19,DENVER,CO,80209-4711,US,1,1,Rainforest,1.0,12
111-8187115-2557805,2020-12-28 07:35 PM PST,32.99,AUBURN,WA,98092,US,1,1,Rainforest,0.0,12
112-6783707-1104226,2020-12-28 08:18 PM PST,32.69,SUNNYVALE,CA,94086-8721,US,1,1,Rainforest,0.0,12
114-8898833-4829852,2020-12-28 10:35 PM PST,29.99,EAGLE RIVER,AK,99577-7100,US,1,1,Rainforest,0.0,12
113-3381344-9988235,2020-12-29 03:50 AM PST,66.07,MIAMI,FL,33132-1353,US,1,2,Rainforest,0.0,12
113-0072425-3543468,2020-12-29 05:21 AM PST,31.79,HERMITAGE,PA,16148-9162,US,1,1,Rainforest,0.0,12
114-7994150-1461864,2020-12-29 06:15 AM PST,32.16,DAVIDSON,NC,28036-7074,US,1,1,Rainforest,0.0,12
112-6263605-4205015,2020-12-29 07:19 AM PST,59.98,MIAMI,FL,33206-3206,US,1,2,Rainforest,0.0,12
114-4345862-4012259,2020-12-29 10:09 AM PST,64.92,FRIENDSWOOD,TX,77546-3567,US,1,2,Rainforest,0.0,12
111-2189007-4992202,2020-12-29 11:59 AM PST,29.99,St. Louis,MO,63109,US,1,1,Rainforest,0.0,12
111-9010376-0740230,2020-12-29 12:10 PM PST,29.99,MIAMI,FL,33176-2944,US,1,1,Rainforest,0.0,12
113-6255265-7864241,2020-12-29 12:10 PM PST,31.79,FALLS CHURCH,VA,22046-4634,US,1,1,Rainforest,0.0,12
113-3754262-5365051,2020-12-29 12:16 PM PST,31.79,ROCHESTER HILLS,MI,48309-1940,US,1,1,Rainforest,0.0,12
113-3651428-3249063,2020-12-29 12:29 PM PST,29.99,SHELBY,MT,59474-1636,US,1,1,Rainforest,0.0,12
111-7233630-8303433,2020-12-29 01:26 PM PST,31.64,Sobieski,WI,54171,US,1,1,Rainforest,0.0,12
111-5249675-1823430,2020-12-29 02:42 PM PST,32.46,OCEANSIDE,CA,92057-7742,US,1,1,Rainforest,0.0,12
111-7785902-3933016,2020-12-29 03:15 PM PST,32.76,KNOXVILLE,TN,37921-7520,US,1,1,Rainforest,0.0,12
114-9511907-4773863,2020-12-29 03:20 PM PST,31.79,Baltimore,MD,21230,US,1,1,Rainforest,0.0,12
111-0205165-4925051,2020-12-29 04:10 PM PST,63.72,LONGMEADOW,MA,01106-1643,US,1,2,Rainforest,0.0,12
112-9225304-7998635,2020-12-29 05:06 PM PST,32.31,ENCINITAS,CA,92024-4244,US,1,1,Rainforest,0.0,12
114-3411342-7671410,2020-12-29 06:59 PM PST,31.79,READING,PA,19606-5104,US,1,1,Rainforest,1.0,12
112-4400414-6346665,2020-12-29 07:42 PM PST,32.39,Spanish fort,AL,36527,US,1,1,Rainforest,0.0,12
112-7679828-5121802,2020-12-29 10:00 PM PST,32.65,Astoria,NY,11103,US,1,1,Rainforest,0.0,12
111-9598000-3766658,2020-12-30 02:54 AM PST,32.39,ONTARIO,NY,14519-8627,US,1,1,Rainforest,0.0,12
112-3771283-9139460,2020-12-30 03:07 AM PST,32.31,RSM,CA,92688-1000,US,1,1,Rainforest,0.0,12
113-3531075-1235447,2020-12-30 07:33 AM PST,32.09,ROEBUCK,SC,29376-3615,US,1,1,Rainforest,0.0,12
114-8683791-8160254,2020-12-30 08:16 AM PST,32.46,DRIPPING SPRINGS,TX,78620-2719,US,1,1,Rainforest,0.0,12
113-2300357-5576253,2020-12-30 09:10 AM PST,31.79,TRAVERSE CITY,MI,49686-2841,US,1,1,Rainforest,0.0,12
113-0661670-2070618,2020-12-30 11:56 AM PST,29.99,GRANTS PASS,OR,97526-3922,US,1,1,Rainforest,1.0,12
111-9100472-8995466,2020-12-30 02:14 PM PST,31.89,NEW MILFORD,CT,06776-3091,US,1,1,Rainforest,1.0,12
113-9581413-2133849,2020-12-30 02:31 PM PST,31.64,WAUWATOSA,WI,53226-1005,US,1,1,Rainforest,0.0,12
112-4923167-5850633,2020-12-30 02:40 PM PST,31.98,RUTHERFORD,NJ,07070-1144,US,1,1,Rainforest,1.0,12
112-8301474-3868208,2020-12-30 03:06 PM PST,32.24,CHAPEL HILL,NC,27514-1846,US,1,1,Rainforest,0.0,12
113-4081363-7753000,2020-12-30 06:34 PM PST,32.13,LAKEVILLE,MN,55044-5913,US,1,1,Rainforest,0.0,12
114-1458258-3414609,2020-12-30 06:59 PM PST,32.24,HUBER HEIGHTS,OH,45424-2722,US,1,1,Rainforest,0.0,12
114-5915405-8133833,2020-12-30 07:09 PM PST,31.79,ROYAL OAK,MI,48073-4262,US,1,1,Rainforest,0.0,12
111-0091036-6179444,2020-12-30 07:32 PM PST,29.99,GRANTHAM,NH,03753-4416,US,1,1,Rainforest,0.0,12
111-2823592-2405833,2020-12-30 07:46 PM PST,32.65,BROOKLYN,NY,11215-5610,US,1,1,Rainforest,0.0,12
111-2178361-4938640,2020-12-31 07:40 AM PST,32.39,SAN ANTONIO,TX,78209-5452,US,1,1,Rainforest,0.0,12
114-0610032-5786609,2020-12-31 07:51 AM PST,31.86,GERMANTOWN HILLS,IL,61548-9440,US,1,1,Rainforest,1.0,12
112-1058899-7925022,2020-12-31 08:15 AM PST,31.79,OLNEY,MD,20832-2933,US,1,1,Rainforest,0.0,12
112-6487774-2152268,2020-12-31 09:51 AM PST,32.09,Southern Pines,NC,28387,US,1,1,Rainforest,0.0,12
112-8322903-7746631,2020-12-31 09:52 AM PST,31.89,EASTON,CT,06612-1938,US,1,1,Rainforest,0.0,12
112-4977182-5063458,2020-12-31 10:11 AM PST,32.46,HOUSTON,TX,77008-3849,US,1,1,Rainforest,0.0,12
114-4492345-8543449,2020-12-31 11:32 AM PST,32.3,La Center,WA,98629,US,1,1,Rainforest,0.0,12
114-7286167-6725835,2020-12-31 11:42 AM PST,32.99,LEMONT,IL,60439-8952,US,1,1,Rainforest,0.0,12
